dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
200	40.0	20.0	19.8	20.0	20.2	0.0	40.7	4.4	100
400	61.8	38.0	22.4	24.1	24.4	0.6	2287.1	6.1	158.881474420083
600	76.8	53.5	21.4	24.1	24.4	0.8	2752.6	7.0	229.779411764706
800	88.0	68.8	0.0	19.8	24.4	7.7	2284.0	7.2	360.230547550432
1000	106.5	83.4	24.2	24.4	24.4	0.1	2268.9	8.7	361.794500723589
1200	114.7	92.0	15.2	23.4	24.4	2.9	2140.0	9.2	425.170068027211
1400	111.8	90.4	0.6	21.7	24.4	7.9	1714.5	8.9	511.247443762781
1600	107.7	89.7	0.0	18.6	24.4	10.7	1794.3	8.3	672.947510094213
1800	111.5	91.3	6.8	21.9	24.4	6.6	1590.3	8.8	653.59477124183
2000	111.8	89.8	24.0	24.3	24.4	0.2	1970.2	9.0	649.350649350649
