dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
2000	344.0	172.7	192.8	194.3	195.2	1.2	73.2	38.0	100.421771440048
2500	385.8	207.1	193.6	194.8	195.2	0.8	647.2	41.2	115.874855156431
3000	382.8	212.2	124.0	175.6	193.6	34.4	617.2	40.2	142.328494164532
3500	311.4	171.7	141.8	166.9	194.6	26.5	997.0	32.8	180.701120346946
4000	327.9	182.8	165.6	169.6	177.2	6.6	1046.8	34.3	195.236235845373
4500	345.2	180.8	177.0	187.7	195.2	9.5	1577.1	37.3	173.550850399167
5000	324.7	181.9	118.6	167.9	192.8	42.7	734.4	35.7	191.350937619594
5500	347.7	198.5	192.8	193.6	194.4	1.2	1088.9	35.9	239.234449760766
6000	336.8	188.6	193.6	194.4	195.2	1.2	1457.0	35.2	240.847784200385
6500	274.9	146.5	70.2	150.2	192.8	69.3	1282.4	29.7	221.926320461607
7000	311.3	172.1	175.4	184.5	193.6	12.8	1778.3	32.7	256.278831368529
